detail,event_count,file_path,matched_media_id,matched_slug,media_type,plex_guid,sidecar_path,status,title
media directory does not exist,0,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E39 - Carnage x And x Devastation.mkv,,,episode,local://23381,,skipped,Hunter x Hunter – Season 2 – Episode 39
media directory does not exist,0,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E40 - Infiltration x And x Selection.mkv,,,episode,local://23382,,skipped,Hunter x Hunter – Season 2 – Episode 40
media directory does not exist,0,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E41 - Combination x And x Evolution.mkv,,,episode,local://23383,,skipped,Hunter x Hunter – Season 2 – Episode 41
media directory does not exist,0,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E42 - Tracking x And x Pursuit.mkv,,,episode,local://23384,,skipped,Hunter x Hunter – Season 2 – Episode 42
media directory does not exist,0,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E43 - Ikalgo x And x Lightning.mkv,,,episode,local://23385,,skipped,Hunter x Hunter – Season 2 – Episode 43
media directory does not exist,0,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E44 - Power x And x Games.mkv,,,episode,local://23386,,skipped,Hunter x Hunter – Season 2 – Episode 44
media directory does not exist,0,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E45 - Check x And x Mate.mkv,,,episode,local://23387,,skipped,Hunter x Hunter – Season 2 – Episode 45
media directory does not exist,0,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E46 - Doubt x And x Hesitation.mkv,,,episode,local://23388,,skipped,Hunter x Hunter – Season 2 – Episode 46
media directory does not exist,0,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E47 - Resolve x And x Awakening.mkv,,,episode,local://23389,,skipped,Hunter x Hunter – Season 2 – Episode 47
media directory does not exist,0,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E48 - Knov x And x Morel.mkv,,,episode,local://23390,,skipped,Hunter x Hunter – Season 2 – Episode 48
media directory does not exist,0,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E49 - Return x And x Retire.mkv,,,episode,local://23391,,skipped,Hunter x Hunter – Season 2 – Episode 49
media directory does not exist,0,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E50 - Gungi x Of x Komugi.mkv,,,episode,local://23392,,skipped,Hunter x Hunter – Season 2 – Episode 50
media directory does not exist,0,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E51 - Taking Stock x And x Taking Action.mkv,,,episode,local://23393,,skipped,Hunter x Hunter – Season 2 – Episode 51
media directory does not exist,0,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E52 - Confusion x And x Expectation.mkv,,,episode,local://23394,,skipped,Hunter x Hunter – Season 2 – Episode 52
media directory does not exist,0,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E53 - Charge x And x Invade.mkv,,,episode,local://23395,,skipped,Hunter x Hunter – Season 2 – Episode 53
media directory does not exist,0,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E54 - Monster x And x Monster.mkv,,,episode,local://23396,,skipped,Hunter x Hunter – Season 2 – Episode 54
media directory does not exist,0,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E55 - An x Indebted x Insect.mkv,,,episode,local://23397,,skipped,Hunter x Hunter – Season 2 – Episode 55
media directory does not exist,0,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E56 - Divide x And x Conquer.mkv,,,episode,local://23398,,skipped,Hunter x Hunter – Season 2 – Episode 56
media directory does not exist,0,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E57 - Duty x and x Question.mkv,,,episode,local://23399,,skipped,Hunter x Hunter – Season 2 – Episode 57
media directory does not exist,0,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E58 - Revenge x And x Recovery.mkv,,,episode,local://23400,,skipped,Hunter x Hunter – Season 2 – Episode 58
media directory does not exist,0,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E59 - Insult x And x Payback.mkv,,,episode,local://23401,,skipped,Hunter x Hunter – Season 2 – Episode 59
media directory does not exist,0,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E60 - A x False x Rage.mkv,,,episode,local://23403,,skipped,Hunter x Hunter – Season 2 – Episode 60
media directory does not exist,0,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E61 - Strong x Or x Weak.mkv,,,episode,local://23404,,skipped,Hunter x Hunter – Season 2 – Episode 61
media directory does not exist,0,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E62 - Fake x And x Real.mkv,,,episode,local://23405,,skipped,Hunter x Hunter – Season 2 – Episode 62
media directory does not exist,0,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E63 - Defeat x And x Dignity.mkv,,,episode,imdb://tt3055164,,skipped,Hunter x Hunter – Season 2 – A x Hard x Master?
media directory does not exist,0,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E64 - Pose x And x Name.mkv,,,episode,imdb://tt3055166,,skipped,Hunter x Hunter – Season 2 – Strengthen x And x Threaten
media directory does not exist,0,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E65 - Centipede x And x Memory.mkv,,,episode,imdb://tt3055170,,skipped,"Hunter x Hunter – Season 2 – Evil Fist x And x Rock, Paper, Scissors"
media directory does not exist,0,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E10 - Pirates x And x Guesses.mkv,,,episode,local://23352,,skipped,Hunter x Hunter – Season 2 – Episode 10
media directory does not exist,0,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E11 - A x Heated x Showdown.mkv,,,episode,local://23353,,skipped,Hunter x Hunter – Season 2 – Episode 11
media directory does not exist,0,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E12 - Guts x And x Courage.mkv,,,episode,local://23354,,skipped,Hunter x Hunter – Season 2 – Episode 12
media directory does not exist,0,F:\MediaStack\data\media\tv\Hunter x Hunter (2011)\Season 02\Hunter x Hunter (2011) - S02E13 - Bargain x And x Deal.mkv,,,episode,local://23355,,skipped,Hunter x Hunter – Season 2 – Episode 13
