detail,event_count,file_path,matched_media_id,matched_slug,media_type,plex_guid,sidecar_path,status,title
title-only movie match,63,F:\MediaStack\data\media\movies\IF (2024)\IF (2024) [Bluray-1080p] {imdb-tt11152168}.mkv,698356,if,movie,imdb://tt11152168,F:\MediaStack\data\media\movies\IF (2024)\IF (2024) [Bluray-1080p] {imdb-tt11152168}.leapfrog.json,written,IF
title-only movie match,77,F:\MediaStack\data\media\movies\Imagine That (2009)\Imagine That (2009) [WEBDL-1080p] {imdb-tt0780567}.mkv,658114,imagine-that,movie,imdb://tt0780567,F:\MediaStack\data\media\movies\Imagine That (2009)\Imagine That (2009) [WEBDL-1080p] {imdb-tt0780567}.leapfrog.json,written,Imagine That
title-only movie match,100,F:\MediaStack\data\media\movies\The Imitation Game (2014)\The Imitation Game (2014) [Bluray-1080p] {imdb-tt2084970}.mp4,1698,the-imitation-game,movie,imdb://tt2084970,F:\MediaStack\data\media\movies\The Imitation Game (2014)\The Imitation Game (2014) [Bluray-1080p] {imdb-tt2084970}.leapfrog.json,written,The Imitation Game
title-only movie match,139,F:\MediaStack\data\media\movies\The Impossible (2012)\The Impossible (2012) [Bluray-1080p] {imdb-tt1649419}.Clean.mkv,1017,the-impossible,movie,imdb://tt1649419,F:\MediaStack\data\media\movies\The Impossible (2012)\The Impossible (2012) [Bluray-1080p] {imdb-tt1649419}.Clean.leapfrog.json,written,The Impossible
title-only movie match,319,F:\MediaStack\data\media\movies\In the Name of the Father (1993)\In the Name of the Father (1993) [Bluray-1080p] {imdb-tt0107207}.mkv,3485,in-the-name-of-the-father,movie,imdb://tt0107207,F:\MediaStack\data\media\movies\In the Name of the Father (1993)\In the Name of the Father (1993) [Bluray-1080p] {imdb-tt0107207}.leapfrog.json,written,In the Name of the Father
title-only movie match,127,F:\MediaStack\data\media\movies\The Indian in the Cupboard (1995)\The Indian in the Cupboard (1995) [Bluray-1080p] {imdb-tt0113419}.mp4,3156,the-indian-in-the-cupboard,movie,imdb://tt0113419,F:\MediaStack\data\media\movies\The Indian in the Cupboard (1995)\The Indian in the Cupboard (1995) [Bluray-1080p] {imdb-tt0113419}.leapfrog.json,written,The Indian in the Cupboard
title-only movie match,154,F:\MediaStack\data\media\movies\Infinite (2021)\Infinite (2021) [Bluray-1080p] {imdb-tt6654210}.mkv,686139,infinite,movie,imdb://tt6654210,F:\MediaStack\data\media\movies\Infinite (2021)\Infinite (2021) [Bluray-1080p] {imdb-tt6654210}.leapfrog.json,written,Infinite
title-only movie match,95,F:\MediaStack\data\media\movies\The Hunger Games (2012)\The Hunger Games (2012) [Bluray-1080p] {imdb-tt1392170}.mkv,1455,the-hunger-games,movie,imdb://tt1392170,F:\MediaStack\data\media\movies\The Hunger Games (2012)\The Hunger Games (2012) [Bluray-1080p] {imdb-tt1392170}.leapfrog.json,written,The Hunger Games
title-only movie match,100,F:\MediaStack\data\media\movies\The Hunger Games - Catching Fire (2013)\The Hunger Games Catching Fire (2013) [Bluray-1080p Proper] {imdb-tt1951264}.mp4,1058,the-hunger-games-catching-fire,movie,imdb://tt1951264,F:\MediaStack\data\media\movies\The Hunger Games - Catching Fire (2013)\The Hunger Games Catching Fire (2013) [Bluray-1080p Proper] {imdb-tt1951264}.leapfrog.json,written,The Hunger Games: Catching Fire
title-only movie match,30,F:\MediaStack\data\media\movies\The Hunger Games - Mockingjay - Part 1 (2014)\The Hunger Games Mockingjay Part 1 (2014) [Bluray-1080p] {imdb-tt1951265}.mkv,1672,the-hunger-games-mockingjay-part-1,movie,imdb://tt1951265,F:\MediaStack\data\media\movies\The Hunger Games - Mockingjay - Part 1 (2014)\The Hunger Games Mockingjay Part 1 (2014) [Bluray-1080p] {imdb-tt1951265}.leapfrog.json,written,The Hunger Games: Mockingjay - Part 1
title-only movie match,82,F:\MediaStack\data\media\movies\The Hunger Games - Mockingjay - Part 2 (2015)\The Hunger Games Mockingjay Part 2 (2015) [Bluray-1080p] {imdb-tt1951266}.mkv,2566,the-hunger-games-mockingjay-part-2,movie,imdb://tt1951266,F:\MediaStack\data\media\movies\The Hunger Games - Mockingjay - Part 2 (2015)\The Hunger Games Mockingjay Part 2 (2015) [Bluray-1080p] {imdb-tt1951266}.leapfrog.json,written,The Hunger Games: Mockingjay - Part 2
title-only movie match,139,F:\MediaStack\data\media\movies\The Hunger Games - The Ballad of Songbirds & Snakes (2023)\The Hunger Games The Ballad of Songbirds and Snakes (2023) [Bluray-1080p] {imdb-tt10545296}.mkv,696496,the-hunger-games-the-ballad-of-songbirds-snakes,movie,imdb://tt10545296,F:\MediaStack\data\media\movies\The Hunger Games - The Ballad of Songbirds & Snakes (2023)\The Hunger Games The Ballad of Songbirds and Snakes (2023) [Bluray-1080p] {imdb-tt10545296}.leapfrog.json,written,The Hunger Games: The Ballad of Songbirds & Snakes
title-only movie match,349,F:\MediaStack\data\media\movies\The Hunt (2012)\The Hunt (2012) [Bluray-1080p] {imdb-tt2106476}.mkv,678532,the-hunt-f2fec,movie,imdb://tt2106476,F:\MediaStack\data\media\movies\The Hunt (2012)\The Hunt (2012) [Bluray-1080p] {imdb-tt2106476}.leapfrog.json,written,The Hunt
title-only movie match,137,F:\MediaStack\data\media\movies\The Hunt for Red October (1990)\The Hunt for Red October (1990) [Bluray-1080p] {imdb-tt0099810}.mkv,1811,the-hunt-for-red-october,movie,imdb://tt0099810,F:\MediaStack\data\media\movies\The Hunt for Red October (1990)\The Hunt for Red October (1990) [Bluray-1080p] {imdb-tt0099810}.leapfrog.json,written,The Hunt for Red October
title-only movie match,276,"F:\MediaStack\data\media\movies\I Love You, Man (2009)\I Love You Man (2009) [Bluray-1080p] {imdb-tt1155056}.mkv",3093,i-love-you-man,movie,imdb://tt1155056,"F:\MediaStack\data\media\movies\I Love You, Man (2009)\I Love You Man (2009) [Bluray-1080p] {imdb-tt1155056}.leapfrog.json",written,"I Love You, Man"
title-only movie match,186,F:\MediaStack\data\media\movies\Hot Rod (2007)\Hot Rod (2007) [Bluray-1080p] {imdb-tt0787475}.mkv,2488,hot-rod,movie,imdb://tt0787475,F:\MediaStack\data\media\movies\Hot Rod (2007)\Hot Rod (2007) [Bluray-1080p] {imdb-tt0787475}.leapfrog.json,written,Hot Rod
title-only movie match,31,F:\MediaStack\data\media\movies\Hotel for Dogs (2009)\Hotel for Dogs (2009) [Bluray-720p] {imdb-tt0785006}.mp4,1643,hotel-for-dogs,movie,imdb://tt0785006,F:\MediaStack\data\media\movies\Hotel for Dogs (2009)\Hotel for Dogs (2009) [Bluray-720p] {imdb-tt0785006}.leapfrog.json,written,Hotel for Dogs
