show_title,show_slug,service_slug,year,rating,season_count,episode_count,event_count,category_count,tag_set_count
Better Call Saul,better-call-saul-1bcf9,netflix,2015,TV-MA,6,63,1752,5,63
Better Than Us,better-than-us-52fd8,netflix,2018,TV-MA,1,16,720,5,16
Between,between-c6e87,netflix,2015,TV-14,2,12,629,5,12
Big Mistakes,big-mistakes-66d2c,netflix,2026,TV-MA,1,8,726,5,8
Bill Russell: Legend,bill-russell-legend-4fea2,netflix,2023,TV-MA,1,2,68,4,2
Billionaires' Bunker,billionaires-bunker-c4118,netflix,2025,TV-MA,1,8,672,5,8
Billions,billions-6b46e,paramount,2016,TV-MA,7,84,6541,5,84
Billy the Kid,billy-the-kid-0f78d,amazon-channels-mgm,2022,TV-MA,3,24,1509,5,24
Biohackers,biohackers-ae046,netflix,2020,TV-MA,1,6,285,5,6
Black Bird,black-bird-f6fac,appletv,2022,TV-MA,1,6,515,5,6
Black Butterflies,black-butterflies-50072,netflix,2022,TV-MA,1,6,573,5,6
Black Doves,black-doves-8123a,netflix,2024,TV-MA,1,6,509,5,6
Black Knight,black-knight-74d65,netflix,2023,TV-MA,1,6,420,4,6
Black Mirror,black-mirror-b3cec,netflix,2011,TV-MA,7,33,3902,5,33
Black Rabbit,black-rabbit-ca467,netflix,2025,TV-MA,1,8,1610,5,8
Black Sails,black-sails-75347,amazon-channels-starz,2014,TV-MA,4,38,3654,5,38
Black Snow,black-snow-38dfe,amazon-channels-amc,2023,TV-MA,2,12,705,5,12
Black Summer,black-summer-5c0c7,netflix,2019,TV-MA,2,16,1313,5,16
Blockbuster,blockbuster-dc687,netflix,2022,TV-14,1,10,310,5,10
Blood & Treasure,blood-treasure-f78c9,amazon-channels-paramount,2019,TV-14,2,25,1350,5,25
Blood & Water,blood-water-babc4,netflix,2020,TV-MA,4,25,2379,5,25
Blood Coast,blood-coast-dbbd7,netflix,2023,TV-MA,2,12,1301,5,12
Blood of Zeus,blood-of-zeus-f0f1d,netflix,2020,TV-MA,2,16,1075,4,16
Bloodhounds,bloodhounds-17078,netflix,2023,TV-MA,1,8,931,5,8
Bloodline,bloodline-42ad3,netflix,2015,TV-MA,3,33,3231,5,33
Blue Bloods,blue-bloods-21738,paramount,2010,TV-14,14,293,10810,5,293
BLUE EYE SAMURAI,blue-eye-samurai-ee4a2,netflix,2023,TV-MA,1,8,669,5,8
Blue Lights,blue-lights-4ecbe,amazon-channels-britbox,2023,TV-MA,3,18,1238,5,18
Blue Mountain State,blue-mountain-state-ba830,amazon-prime,2010,TV-MA,1,13,1717,5,13
Bobby Kennedy for President,bobby-kennedy-for-president-aa00a,netflix,2018,TV-MA,1,4,107,5,4
Bodies,bodies-671ca,netflix,2023,TV-MA,1,8,425,5,8
Bodkin,bodkin-bf408,netflix,2024,TV-MA,1,7,708,5,7
Bodyguard,bodyguard-7b659,netflix,2018,TV-MA,1,6,290,4,6
BoJack Horseman,bojack-horseman-97404,netflix,2014,TV-MA,6,76,4032,5,76
Boots,boots-02b65,netflix,2025,TV-MA,1,8,1018,5,8
Borgen,borgen-5b5ac,netflix,2010,TV-MA,1,10,617,5,10
Bosch,bosch-fa99a,amazon-prime,2015,TV-MA,7,68,4196,5,68
Bosch: Legacy,bosch-legacy-d2bf0,amazon-prime,2022,TV-14,3,30,1670,5,30
Boston Blue,boston-blue-47d0b,paramount,2025,TV-14,1,20,877,5,20
Boy Swallows Universe,boy-swallows-universe-15058,netflix,2024,TV-MA,1,7,794,5,7
Break Point,break-point-a9332,netflix,2023,TV-MA,2,16,474,4,16
Breaking Bad,breaking-bad-8185c,netflix,2008,TV-14,5,62,2713,5,62
Bridgerton,bridgerton-d9820,netflix,2020,TV-MA,4,32,3176,5,32
Britannia,britannia-1e865,amazon-channels-mgm,2018,TV-MA,3,27,2101,5,27
Broadchurch,broadchurch-869ec,netflix,2013,TV-14,3,24,1106,5,24
Broken,broken-33159,amazon-channels-britbox,2017,TV-MA,1,6,298,5,6
Brooklyn Nine-Nine,brooklyn-nine-nine-da345,peacock,2013,TV-14,8,153,5681,5,153
Brotherhood,brotherhood-5d62f,netflix,2019,TV-MA,1,8,1149,5,8
Brotherhood,brotherhood-ceefc,amazon-channels-paramount,2006,TV-MA,1,11,1305,5,11
Bull,bull-f8054,amazon-channels-paramount,2016,TV-14,6,125,2766,5,125
Bupkis,bupkis-32ec3,peacock,2023,TV-MA,1,8,860,5,8
Butterfly,butterfly-f8cfc,amazon-prime,2025,TV-MA,1,6,295,4,6
Cable Girls,cable-girls-80634,netflix,2017,TV-MA,6,42,1189,5,42
Call the Midwife,call-the-midwife-7230b,netflix,2012,TV-MA,14,127,4387,5,127
Calls,calls-3b2bd,appletv,2021,TV-MA,1,9,376,3,9
Can You Keep a Secret?,can-you-keep-a-secret-47669,paramount,2026,TV-MA,1,6,242,4,6
Capitani,capitani-9ad1a,netflix,2019,TV-MA,2,24,936,5,24
Captains of the World,captains-of-the-world-2cfa1,netflix,2023,TV-MA,1,6,114,3,6
Carnival Row,carnival-row-680ae,amazon-prime,2019,TV-MA,2,18,1600,5,18
Carême,careme-00113,appletv,2025,TV-MA,1,8,559,5,8
Cassandra,cassandra-17bdf,netflix,2025,TV-MA,1,6,311,5,6
Castlevania,castlevania-0f04b,netflix,2017,TV-MA,4,32,1638,4,32
Castlevania: Nocturne,castlevania-nocturne-de6e9,netflix,2023,TV-MA,2,16,1173,4,16
Catastrophe,catastrophe-46be4,amazon-prime,2015,TV-MA,4,24,1928,5,24
Caught,caught-c3358,netflix,2025,TV-MA,1,6,348,5,6
Cheer,cheer-86057,netflix,2020,TV-MA,2,15,745,5,15
Chef's Table,chefs-table-42b8f,netflix,2015,TV-MA,6,30,354,5,30
Chicago Fire,chicago-fire-e6efd,peacock,2012,TV-14,3,69,4060,5,69
Chicago Med,chicago-med-5750e,peacock,2015,TV-14,4,83,3792,5,83
Chicago P.D.,chicago-pd-fccb6,amazon-prime,2014,TV-14,13,264,16233,5,264
Chief of War,chief-of-war-983f4,appletv,2025,TV-MA,1,9,1140,5,9
Chloe,chloe-09408,amazon-prime,2022,TV-MA,1,6,321,5,6
CIA,cia-c063a,paramount,2026,TV-14,1,12,425,5,12
Citadel,citadel-de592,amazon-prime,2023,TV-14,2,13,1312,5,13
Citadel Honey Bunny,citadel-honey-bunny-0f8f1,amazon-prime,2024,TV-MA,1,6,403,4,6
Citadel: Diana,citadel-diana-687e4,amazon-prime,2024,TV-14,1,6,239,5,6
City on a Hill,city-on-a-hill-f90ec,amazon-prime,2019,TV-MA,2,18,2720,5,18
City on Fire,city-on-fire-67506,appletv,2023,TV-MA,1,8,862,5,8
Clark,clark-32314,netflix,2022,TV-MA,1,6,1680,5,6
Clarkson's Farm,clarksons-farm-6f4e9,amazon-prime,2021,TV-MA,4,32,1990,4,32
Class of '07,class-of-07-e1f88,amazon-prime,2023,TV-MA,1,8,958,5,8
Classified,classified-90ab3,amazon-prime,2023,TV-14,1,8,592,5,8
Clickbait,clickbait-5478c,netflix,2021,TV-MA,1,8,439,5,8
Coach Prime,coach-prime-bfc80,amazon-prime,2022,TV-MA,3,15,480,4,15
Cobra Kai,cobra-kai-5962d,netflix,2018,TV-14,6,65,4417,5,65
Code of Silence,code-of-silence-85e29,amazon-channels-britbox,2025,TV-MA,1,6,143,4,6
Coldwater,coldwater-30caf,paramount,2025,TV-MA,1,6,451,4,6
Colin from Accounts,colin-from-accounts-7473e,paramount,2022,TV-MA,2,16,1358,5,16
Collateral,collateral-34b67,netflix,2018,TV-MA,1,4,173,4,4
Colony,colony-795e6,amazon-prime,2016,TV-14,3,36,1432,5,36
Community,community-056e9,peacock,2009,TV-14,6,110,4115,5,110
Condor,condor-d651e,amazon-channels-mgm,2018,TV-MA,2,20,1408,5,20
Constellation,constellation-7d331,appletv,2024,TV-MA,1,8,366,4,8
Continuum,continuum-ff2e5,amazon-prime,2012,TV-14,4,42,2003,5,42
Control Z,control-z-2b813,netflix,2020,TV-MA,3,24,2833,5,24
Conversations with a Killer: The Jeffrey Dahmer Tapes,conversations-with-a-killer-the-jeffrey-dahmer-tapes-b70b4,netflix,2022,TV-MA,1,3,142,5,3
Conversations with a Killer: The John Wayne Gacy Tapes,conversations-with-a-killer-the-john-wayne-gacy-tapes-bf004,netflix,2022,TV-MA,1,3,287,5,3
Conversations with a Killer: The Son of Sam Tapes,conversations-with-a-killer-the-son-of-sam-tapes-58a61,netflix,2025,TV-MA,1,3,117,5,3
Conversations with a Killer: The Ted Bundy Tapes,conversations-with-a-killer-the-ted-bundy-tapes-ff34f,netflix,2019,TV-MA,1,4,170,5,4
Countdown,countdown-50ac2,amazon-prime,2025,TV-MA,1,13,825,5,13
Country Comfort,country-comfort-9204c,netflix,2021,TV-PG,1,10,308,5,10
Court of Gold,court-of-gold-6cc6d,netflix,2025,TV-MA,1,6,184,3,6
Cowboy Bebop,cowboy-bebop-1a5a1,netflix,2021,TV-MA,1,10,1242,5,10
Crashing,crashing-0e123,netflix,2016,TV-MA,1,6,543,4,6
Crime,crime-6193c,amazon-channels-britbox,2021,TV-MA,1,6,657,5,6
Crime Scene: The Texas Killing Fields,crime-scene-the-texas-killing-fields-f060c,netflix,2022,TV-MA,1,3,82,5,3
Crime Scene: The Vanishing at the Cecil Hotel,crime-scene-the-vanishing-at-the-cecil-hotel-331e5,netflix,2021,TV-MA,1,4,121,5,4
Criminal Code,criminal-code-60b48,netflix,2023,TV-MA,2,16,2237,5,16
Criminal Record,criminal-record-cce0b,appletv,2024,TV-MA,2,13,866,5,13
Criminal: UK,criminal-uk-aaa22,netflix,2019,TV-MA,2,7,166,3,7
Cross,cross-8cf66,amazon-prime,2024,TV-MA,2,16,1721,5,16
Cruel Intentions,cruel-intentions-19591,amazon-prime,2024,TV-MA,1,8,1026,5,8
Crutch,crutch-9f8d0,paramount,2025,TV-MA,1,8,193,4,8
CSI: Vegas,csi-vegas-949a5,amazon-channels-paramount,2021,TV-14,3,41,2516,5,41
Cunk on...,cunk-on-8871f,netflix,2022,TV-MA,1,5,202,4,5
Curon,curon-ed0e3,netflix,2020,TV-MA,1,7,510,5,7
Cursed,cursed-3b36f,netflix,2020,TV-MA,1,10,681,5,10
Curses!,curses-944f0,appletv,2023,TV-G,1,10,184,2,10
Cyberpunk: Edgerunners,cyberpunk-edgerunners-8ce26,netflix,2022,TV-MA,1,10,984,5,10
D.B. Cooper: Where Are You?!,db-cooper-where-are-you-35487,netflix,2022,TV-14,1,4,80,5,4
Dad Stop Embarrassing Me!,dad-stop-embarrassing-me-9ee3e,netflix,2021,TV-14,1,8,502,5,8
DAHMER - Monster: The Jeffrey Dahmer Story,dahmer-monster-the-jeffrey-dahmer-story-bfb97,netflix,2022,TV-MA,1,10,731,5,10
Daisy Jones & the Six,daisy-jones-the-six-25a5d,amazon-prime,2023,TV-MA,1,10,962,5,10
Dan Da Dan,dan-da-dan-1d263,netflix,2024,TV-MA,2,24,1727,4,24
Dancing for the Devil: The 7M TikTok Cult,dancing-for-the-devil-the-7m-tiktok-cult-1c9fd,netflix,2024,TV-MA,1,3,122,4,3
Dark,dark-e1bbf,netflix,2017,TV-MA,3,26,1041,5,26
Dark Matter,dark-matter-d4647,appletv,2024,TV-MA,1,9,473,5,9
Dark Winds,dark-winds-a4f11,netflix,2022,TV-MA,4,28,1045,5,28
Dark/Web,darkweb-c9c74,amazon-prime,2019,TV-MA,1,8,632,5,8
Dash & Lily,dash-lily-7e39f,netflix,2020,TV-PG,1,8,253,5,8
Dave Chappelle: Equanimity & The Bird Revelation,dave-chappelle-equanimity-the-bird-revelation-13a76,netflix,2017,TV-MA,1,2,515,4,2
Dawson's Creek,dawsons-creek-cfd17,netflix,1998,TV-14,3,58,3277,5,58
Daybreak,daybreak-51436,netflix,2019,TV-MA,1,10,1191,5,10
Dead End,dead-end-e0cbf,netflix,2022,TV-MA,1,6,442,5,6
Dead Places,dead-places-a99b6,amazon-prime,2021,TV-14,1,8,469,5,8
Dead Ringers,dead-ringers-f814d,amazon-prime,2023,TV-MA,1,6,981,5,6
Dead to Me,dead-to-me-8e012,netflix,2019,TV-MA,3,30,1878,5,30
Deadloch,deadloch-38ad5,amazon-prime,2023,TV-MA,1,8,1714,5,8
Dear Child,dear-child-144d3,netflix,2023,TV-MA,1,6,160,5,6
Dear Edward,dear-edward-168cc,appletv,2023,TV-MA,1,10,437,5,10
Dear White People,dear-white-people-85ddf,netflix,2017,TV-MA,4,40,2808,5,40
Death by Lightning,death-by-lightning-b5444,netflix,2025,TV-MA,1,4,276,4,4
Death in Paradise,death-in-paradise-5a703,amazon-prime,2011,TV-14,1,8,397,5,8
Defending Jacob,defending-jacob-b2ee0,appletv,2020,TV-MA,1,8,352,5,8
Defiance,defiance-23f6e,amazon,2013,TV-14,1,12,923,5,12
Delete,delete-150e3,netflix,2023,TV-MA,1,8,193,5,8
Delicious in Dungeon,delicious-in-dungeon-1c63d,netflix,2024,TV-MA,1,24,964,4,24
Demon Slayer: Kimetsu no Yaiba,demon-slayer-kimetsu-no-yaiba-cb15f,netflix,2019,TV-14,5,63,3324,5,63
Depp V Heard,depp-v-heard-bf9ed,netflix,2023,TV-MA,1,3,166,5,3
Dept. Q,dept-q-238d4,netflix,2025,TV-MA,1,9,880,5,9
Derek,derek-b1a5c,netflix,2013,TV-MA,3,14,620,5,14
Derry Girls,derry-girls-564b8,netflix,2018,TV-MA,3,19,1438,5,19
Detective Forst,detective-forst-f8605,netflix,2024,TV-MA,1,6,408,5,6
Detective Hole,detective-hole-356db,netflix,2026,TV-MA,1,9,781,5,9
Detectorists,detectorists-9a6de,amazon-prime,2014,TV-14,3,19,512,5,19
Detroiters,detroiters-fec8c,netflix,2017,TV-MA,1,10,466,5,10
Devil in Disguise: John Wayne Gacy,devil-in-disguise-john-wayne-gacy-d8133,peacock,2025,TV-MA,1,8,845,5,8
Devil in Ohio,devil-in-ohio-4e0d4,netflix,2022,TV-MA,1,8,248,5,8
Devil May Cry,devil-may-cry-9a5ff,netflix,2025,TV-MA,1,8,623,4,8
Devilman Crybaby,devilman-crybaby-7ef6b,netflix,2018,TV-MA,1,10,790,5,10
Dexter,dexter-418c4,paramount,2006,TV-MA,8,96,10964,5,96
Dexter: New Blood,dexter-new-blood-c27b2,paramount,2021,TV-MA,1,10,1062,5,10
Dexter: Original Sin,dexter-original-sin-5282e,paramount,2024,TV-MA,1,10,1381,5,10
Dexter: Resurrection,dexter-resurrection-01c1b,paramount,2025,TV-MA,1,10,922,5,10
Dickinson,dickinson-e20e4,appletv,2019,TV-14,3,30,1002,5,30
Dinner with the Parents,dinner-with-the-parents-89ca7,amazon-prime,2024,TV-14,1,10,454,5,10
Dirty John,dirty-john-b5667,netflix,2018,TV-MA,2,16,494,5,16
Dirty Pop: The Boy Band Scam,dirty-pop-the-boy-band-scam-2c3ca,netflix,2024,TV-14,1,3,79,5,3
Disclaimer,disclaimer-181d2,appletv,2024,TV-MA,1,7,507,5,7
Django,django-4cc2e,netflix,2023,TV-MA,1,10,497,5,10
DMV,dmv-251d4,paramount,2025,TV-PG,1,20,706,5,20
Doctor Who,doctor-who-8ce2a,amazon,2005,TV-PG,5,61,3656,5,61
DOM,dom-97872,amazon-prime,2021,TV-MA,1,8,1755,5,8
Domina,domina-55fc6,amazon-channels-mgm,2021,TV-MA,1,8,654,4,8
Dope Thief,dope-thief-a6ae1,appletv,2025,TV-MA,1,8,1422,5,8
DOTA: Dragon's Blood,dota-dragons-blood-c2578,netflix,2021,TV-MA,2,16,763,4,16
Down Cemetery Road,down-cemetery-road-50757,appletv,2025,TV-MA,1,8,759,5,8
Down for Love,down-for-love-61ce8,netflix,2022,TV-14,1,5,240,5,5
Down to Earth with Zac Efron,down-to-earth-with-zac-efron-43452,netflix,2020,TV-PG,2,16,347,5,16
Downton Abbey,downton-abbey-4ea42,amazon-prime,2010,TV-14,6,52,1700,5,52
Dr. Death,dr-death-13ace,peacock,2021,TV-MA,2,16,1031,5,16
Dracula,dracula-10ce5,netflix,2020,TV-14,1,3,401,5,3
Dragon Age: Absolution,dragon-age-absolution-90a1f,netflix,2022,TV-MA,1,6,314,4,6
Dragons: Rescue Riders,dragons-rescue-riders-841e4,netflix,2019,TV-Y7,1,14,305,4,14
Drops of God,drops-of-god-5c166,appletv,2023,TV-MA,2,16,354,5,16
Dutton Ranch,dutton-ranch-8204c,paramount,2026,TV-MA,1,3,421,5,3
Dynasty: The Murdochs,dynasty-the-murdochs-39930,netflix,2026,TV-MA,1,4,111,5,4
Earth Abides,earth-abides-a608e,amazon-channels-mgm,2024,TV-MA,1,6,308,4,6
Eat the Rich: The GameStop Saga,eat-the-rich-the-gamestop-saga-8f929,netflix,2022,TV-MA,1,3,116,4,3
Echo 3,echo-3-14f2c,appletv,2022,TV-MA,1,10,679,5,10
Echoes,echoes-53af7,netflix,2022,TV-MA,1,7,326,5,7
