category_id,key,display_title,path_keys,path_titles,default_type,mapped_category,example_description
46,immodesty_female,Female Immodesty,sex_nudity_immodesty/immodesty_female,Nudity & Immodesty > Female Immodesty,audiovisual,nudity,A woman's genitals are outlined in athletic pants.
45,immodesty_male,Male Immodesty,sex_nudity_immodesty/immodesty_male,Nudity & Immodesty > Male Immodesty,audiovisual,nudity,A man's genital outline is visible in form-fitting pants.
13,implied,Implied Violence,violence_blood_gore/implied,Violence > Implied Violence,audio,violence,A woman mentions how a man stuck a grenade in a teenage boy's mouth.
37,implied_not_shown,Implied Sex,sex_any/implied_not_shown,Sex > Implied Sex,audiovisual,sexual_content,A man and a woman lie in bed and talk after sex.
41,implied_nudity,Implied Nudity,sex_nudity_immodesty/implied_nudity,Nudity & Immodesty > Implied Nudity,audiovisual,nudity,A man sits in a bath.
94,jap,j*p,language/language_racial/jap,Language > Racial & Bigoted Slurs > j*p,audio,profanity,
127,jerk,je*k,language/language_sexual/jerk,Language > Sexual Reference > je*k,audio,sexual_content,
80,jesus,J*sus,language/blasphemy/jesus,Language > Blasphemy > J*sus,audio,profanity,
95,jiz,j*z,language/language_racial/jiz,Language > Racial & Bigoted Slurs > j*z,audio,profanity,
93,kike,k*ke,language/language_racial/kike,Language > Racial & Bigoted Slurs > k*ke,audio,profanity,
50,kissing_homo_normal,Homosexual Normal,kissing/kissing_homo_normal,Kissing > Homosexual Normal,audiovisual,,A woman kisses another woman.
51,kissing_homo_passion,Homosexual Passionate,kissing/kissing_homo_passion,Kissing > Homosexual Passionate,audiovisual,,Two men kiss.
48,kissing_normal,Heterosexual Normal,kissing/kissing_normal,Kissing > Heterosexual Normal,audiovisual,,A woman kisses a man.
49,kissing_passion,Heterosexual Passionate,kissing/kissing_passion,Kissing > Heterosexual Passionate,audiovisual,,A man and a woman kiss.
128,kooch,k**ch,language/language_sexual/kooch,Language > Sexual Reference > k**ch,audio,sexual_content,
96,kraut,kr*ut,language/language_racial/kraut,Language > Racial & Bigoted Slurs > kr*ut,audio,profanity,
29,life_events,Life Events,human_functions/life_events,Medical & Body Process > Life Events,audiovisual,,A dead teenage boy in a casket is visible.
82,lord,L*rd,language/blasphemy/lord,Language > Blasphemy > L*rd,audio,profanity,
129,masturbate,m*sturb*te,language/language_sexual/masturbate,Language > Sexual Reference > m*sturb*te,audio,sexual_content,A woman makes a sexual remark to a woman.
31,medical_graphic,Medical Graphic,human_functions/medical_graphic,Medical & Body Process > Medical Graphic,audiovisual,,A woman applies pressure to a man's bleeding side.
32,medical_procedures,Medical Procedures,human_functions/medical_procedures,Medical & Body Process > Medical Procedures,audiovisual,,A man performs an autopsy on a dead man.
97,nigger,n*gg*r,language/language_racial/nigger,Language > Racial & Bigoted Slurs > n*gg*r,audio,profanity,
14,non_graphic,Non-graphic Violence,violence_blood_gore/non_graphic,Violence > Non-graphic Violence,audiovisual,violence,A man punches another man in the face.
44,nudity_both,Both Male and Female,sex_nudity_immodesty/nudity_both,Nudity & Immodesty > Both Male and Female,audiovisual,nudity,Two topless women are shown with blurred breasts. A woman holds a pipe in the shape of male genitals.
42,nudity_female,Female,sex_nudity_immodesty/nudity_female,Nudity & Immodesty > Female,audiovisual,nudity,A woman's bare back is visible.
43,nudity_male,Male,sex_nudity_immodesty/nudity_male,Nudity & Immodesty > Male,audiovisual,nudity,A man's buttocks are visible.
