plex_guid,file_path,media_type,title,status,detail,matched_media_id,matched_slug,sidecar_path,event_count
imdb://tt0069704,F:\MediaStack\data\media\movies\American Graffiti (1973)\American Graffiti (1973) [WEBRip-1080p] {imdb-tt0069704}.mp4,movie,American Graffiti,written,title-only movie match,1034,american-graffiti,F:\MediaStack\data\media\movies\American Graffiti (1973)\American Graffiti (1973) [WEBRip-1080p] {imdb-tt0069704}.leapfrog.json,283
imdb://tt1800241,F:\MediaStack\data\media\movies\American Hustle (2013)\American Hustle (2013) [Bluray-1080p] {imdb-tt1800241}.mp4,movie,American Hustle,written,title-only movie match,1065,american-hustle,F:\MediaStack\data\media\movies\American Hustle (2013)\American Hustle (2013) [Bluray-1080p] {imdb-tt1800241}.leapfrog.json,377
imdb://tt0144084,F:\MediaStack\data\media\movies\American Psycho (2000)\American Psycho (2000) [Bluray-1080p] {imdb-tt0144084}.mkv,movie,American Psycho,written,title-only movie match,1057,american-psycho,F:\MediaStack\data\media\movies\American Psycho (2000)\American Psycho (2000) [Bluray-1080p] {imdb-tt0144084}.leapfrog.json,155
local://25186,F:\MediaStack\data\media\movies\Airplane II - The Sequel (1982)\Airplane II The Sequel (1982) [Bluray-1080P] {Imdb-Tt0083530}.Clean.mp4,movie,Airplane II the Sequel,written,title-only movie match,1022,airplane-ii-the-sequel,F:\MediaStack\data\media\movies\Airplane II - The Sequel (1982)\Airplane II The Sequel (1982) [Bluray-1080P] {Imdb-Tt0083530}.Clean.leapfrog.json,194
local://25075,F:\MediaStack\data\media\movies\Airplane! (1980)\Airplane! (1980) [Bluray-1080P] {Imdb-Tt0080339}.Clean.mp4,movie,Airplane!,written,title-only movie match,2359,airplane,F:\MediaStack\data\media\movies\Airplane! (1980)\Airplane! (1980) [Bluray-1080P] {Imdb-Tt0080339}.Clean.leapfrog.json,172
imdb://tt0437800,F:\MediaStack\data\media\movies\Akeelah and the Bee (2006)\Akeelah and the Bee (2006) [WEBDL-1080p] {imdb-tt0437800}.mkv,movie,Akeelah and the Bee,written,title-only movie match,11268,akeelah-and-the-bee,F:\MediaStack\data\media\movies\Akeelah and the Bee (2006)\Akeelah and the Bee (2006) [WEBDL-1080p] {imdb-tt0437800}.leapfrog.json,68
imdb://tt0248667,F:\MediaStack\data\media\movies\Ali (2001)\Ali (2001) [Bluray-1080p] {imdb-tt0248667}.mkv,movie,Ali,written,title-only movie match,3249,ali,F:\MediaStack\data\media\movies\Ali (2001)\Ali (2001) [Bluray-1080p] {imdb-tt0248667}.leapfrog.json,161
imdb://tt0096787,F:\MediaStack\data\media\movies\All Dogs Go to Heaven (1989)\All Dogs Go to Heaven (1989) [Bluray-1080p] {imdb-tt0096787}.mkv,movie,All Dogs Go to Heaven,written,title-only movie match,3803,all-dogs-go-to-heaven,F:\MediaStack\data\media\movies\All Dogs Go to Heaven (1989)\All Dogs Go to Heaven (1989) [Bluray-1080p] {imdb-tt0096787}.leapfrog.json,185
imdb://tt6324278,F:\MediaStack\data\media\movies\Abominable (2019)\Abominable (2019) [Bluray-1080p] {imdb-tt6324278}.mkv,movie,Abominable,written,title-only movie match,675818,abominable-84a0e,F:\MediaStack\data\media\movies\Abominable (2019)\Abominable (2019) [Bluray-1080p] {imdb-tt6324278}.leapfrog.json,74
imdb://tt2194499,F:\MediaStack\data\media\movies\About Time (2013)\About Time (2013) [Bluray-1080p] {imdb-tt2194499}.mkv,movie,About Time,written,title-only movie match,1308,about-time,F:\MediaStack\data\media\movies\About Time (2013)\About Time (2013) [Bluray-1080p] {imdb-tt2194499}.leapfrog.json,188
