plex_guid,file_path,media_type,title,status,detail,matched_media_id,matched_slug,sidecar_path,event_count
tmdb://6042071,F:\MediaStack\data\media\tv\SpongeBob SquarePants\Specials\SpongeBob SquarePants - S00E02 - Party Pooper Pants.mkv,episode,SpongeBob SquarePants – Specials – Holiday Party,unmatched,missing episode match metadata,,,,0
tmdb://6042072,F:\MediaStack\data\media\tv\SpongeBob SquarePants\Specials\SpongeBob SquarePants - S00E03 - The Sponge Who Could Fly.mkv,episode,SpongeBob SquarePants – Specials – Plankton's Holiday Hits,unmatched,missing episode match metadata,,,,0
tmdb://6390387,F:\MediaStack\data\media\tv\SpongeBob SquarePants\Specials\SpongeBob SquarePants - S00E04 - Ugh.mkv,episode,SpongeBob SquarePants – Specials – Bikini Bottom's 7 Life Strategies,unmatched,missing episode match metadata,,,,0
tmdb://6390337,F:\MediaStack\data\media\tv\SpongeBob SquarePants\Specials\SpongeBob SquarePants - S00E06 - Have You Seen This Snail.mkv,episode,SpongeBob SquarePants – Specials – Recollections From the First Season Crew,unmatched,missing episode match metadata,,,,0
tmdb://6390341,F:\MediaStack\data\media\tv\SpongeBob SquarePants\Specials\SpongeBob SquarePants - S00E07 - Dunces and Dragons.mkv,episode,SpongeBob SquarePants – Specials – Everybody's Talking: The Voices Behind SpongeBob SquarePants,unmatched,missing episode match metadata,,,,0
tmdb://6390347,F:\MediaStack\data\media\tv\SpongeBob SquarePants\Specials\SpongeBob SquarePants - S00E08 - Friend or Foe.mkv,episode,SpongeBob SquarePants – Specials – Drawing the Goo Lagoon,unmatched,missing episode match metadata,,,,0
tmdb://1026532,F:\MediaStack\data\media\tv\SpongeBob SquarePants\Specials\SpongeBob SquarePants - S00E09 - Atlantis SquarePantis.mkv,episode,SpongeBob SquarePants – Specials – The Endless Summer,unmatched,missing episode match metadata,,,,0
tmdb://6390582,F:\MediaStack\data\media\tv\SpongeBob SquarePants\Specials\SpongeBob SquarePants - S00E10 - Pest of the West.mkv,episode,SpongeBob SquarePants – Specials – Around the World With SpongeBob SquarePants,unmatched,missing episode match metadata,,,,0
tmdb://6390621,F:\MediaStack\data\media\tv\SpongeBob SquarePants\Specials\SpongeBob SquarePants - S00E11 - What Ever Happened to SpongeBob.mkv,episode,SpongeBob SquarePants – Specials – How to Draw SpongeBob SquarePants & His Underwater Buddies,unmatched,missing episode match metadata,,,,0
tmdb://6390655,F:\MediaStack\data\media\tv\SpongeBob SquarePants\Specials\SpongeBob SquarePants - S00E12 - SpongeBob SquarePants vs. The Big One.mkv,episode,SpongeBob SquarePants – Specials – Behind the Scenes: The Voices of SpongeBob & Friends,unmatched,missing episode match metadata,,,,0
tmdb://6390652,F:\MediaStack\data\media\tv\SpongeBob SquarePants\Specials\SpongeBob SquarePants - S00E14 - Truth or Square.mkv,episode,SpongeBob SquarePants – Specials – Anything for Baby,unmatched,missing episode match metadata,,,,0
tmdb://6390653,F:\MediaStack\data\media\tv\SpongeBob SquarePants\Specials\SpongeBob SquarePants - S00E15 - The Clash of Triton.mkv,episode,SpongeBob SquarePants – Specials – Flowers for Sandy,unmatched,missing episode match metadata,,,,0
imdb://tt0707293,F:\MediaStack\data\media\tv\SpongeBob SquarePants\Season 01\SpongeBob SquarePants - S01E01-E03 - Help Wanted + Reef Blower + Tea at the Treedome.mkv,episode,SpongeBob SquarePants – Season 1 – Help Wanted,unmatched,missing episode match metadata,,,,0
tmdb://1001261,F:\MediaStack\data\media\tv\SpongeBob SquarePants\Season 01\SpongeBob SquarePants - S01E01-E03 - Help Wanted + Reef Blower + Tea at the Treedome.mkv,episode,SpongeBob SquarePants – Season 1 – Reef Blower,unmatched,missing episode match metadata,,,,0
imdb://tt0697727,F:\MediaStack\data\media\tv\Seinfeld\Season 09\Seinfeld - S09E19 - The Maid.mkv,episode,Seinfeld – Season 9 – The Maid,unmatched,missing episode match metadata,,,,0
imdb://tt0697761,F:\MediaStack\data\media\tv\Seinfeld\Season 09\Seinfeld - S09E20 - The Puerto Rican Day.mkv,episode,Seinfeld – Season 9 – The Puerto Rican Day,unmatched,missing episode match metadata,,,,0
imdb://tt0893212,F:\MediaStack\data\media\tv\Seinfeld\Season 09\Seinfeld - S09E21-E22 - The Chronicle (Part 1) + The Chronicle (Part 2).mkv,episode,Seinfeld – Season 9 – The Chronicle (1),unmatched,missing episode match metadata,,,,0
tmdb://63282,F:\MediaStack\data\media\tv\Seinfeld\Season 09\Seinfeld - S09E21-E22 - The Chronicle (Part 1) + The Chronicle (Part 2).mkv,episode,Seinfeld – Season 9 – The Chronicle (2),unmatched,missing episode match metadata,,,,0
imdb://tt0697695,F:\MediaStack\data\media\tv\Seinfeld\Season 09\Seinfeld - S09E23-E24 - The Finale (Part 1) + The Finale (Part 2).mkv,episode,Seinfeld – Season 9 – The Finale (1),unmatched,missing episode match metadata,,,,0
tmdb://63283,F:\MediaStack\data\media\tv\Seinfeld\Season 09\Seinfeld - S09E23-E24 - The Finale (Part 1) + The Finale (Part 2).mkv,episode,Seinfeld – Season 9 – The Finale (2),unmatched,missing episode match metadata,,,,0
imdb://tt21603464,F:\MediaStack\data\media\tv\Solo Leveling\Season 01\Solo Leveling - S01E01 - I'm Used to It.mkv,episode,Solo Leveling – Season 1 – I'm Used to It,unmatched,missing episode match metadata,,,,0
imdb://tt30801754,F:\MediaStack\data\media\tv\Solo Leveling\Season 01\Solo Leveling - S01E02 - If I Had One More Chance.mkv,episode,Solo Leveling – Season 1 – If I Had One More Chance,unmatched,missing episode match metadata,,,,0
imdb://tt30869507,F:\MediaStack\data\media\tv\Solo Leveling\Season 01\Solo Leveling - S01E03 - It's Like a Game.mkv,episode,Solo Leveling – Season 1 – It's Like a Game,unmatched,missing episode match metadata,,,,0
imdb://tt30869508,F:\MediaStack\data\media\tv\Solo Leveling\Season 01\Solo Leveling - S01E04 - I've Gotta Get Stronger.mkv,episode,Solo Leveling – Season 1 – I've Gotta Get Stronger,unmatched,missing episode match metadata,,,,0
imdb://tt30869509,F:\MediaStack\data\media\tv\Solo Leveling\Season 01\Solo Leveling - S01E05 - A Pretty Good Deal.mkv,episode,Solo Leveling – Season 1 – A Pretty Good Deal,unmatched,missing episode match metadata,,,,0
imdb://tt30869510,F:\MediaStack\data\media\tv\Solo Leveling\Season 01\Solo Leveling - S01E06 - The Real Hunt Begins.mkv,episode,Solo Leveling – Season 1 – The Real Hunt Begins,unmatched,missing episode match metadata,,,,0
imdb://tt30869511,F:\MediaStack\data\media\tv\Solo Leveling\Season 01\Solo Leveling - S01E07 - Let's See How Far I Can Go.mkv,episode,Solo Leveling – Season 1 – Let's See How Far I Can Go,unmatched,missing episode match metadata,,,,0
