detail,event_count,file_path,matched_media_id,matched_slug,media_type,plex_guid,sidecar_path,status,title
missing episode match metadata,0,F:\MediaStack\data\media\tv\The Universe\Season 02\The Universe - S02E03 - Mysteries of the Moon.mkv,,,episode,imdb://tt1119110,,unmatched,The Universe – Season 2 – Mysteries of the Moon
missing episode match metadata,0,F:\MediaStack\data\media\tv\The Universe\Season 02\The Universe - S02E04 - The Milky Way.mkv,,,episode,imdb://tt1119111,,unmatched,The Universe – Season 2 – The Milky Way
missing episode match metadata,0,F:\MediaStack\data\media\tv\The Universe\Season 02\The Universe - S02E05 - Alien Moons.mkv,,,episode,imdb://tt1119112,,unmatched,The Universe – Season 2 – Alien Moons
missing episode match metadata,0,F:\MediaStack\data\media\tv\The Universe\Season 02\The Universe - S02E06 - Dark Matter.mkv,,,episode,imdb://tt1119113,,unmatched,The Universe – Season 2 – Dark Matter
missing episode match metadata,0,F:\MediaStack\data\media\tv\The Universe\Season 02\The Universe - S02E07 - Astrobiology.mkv,,,episode,imdb://tt1119114,,unmatched,The Universe – Season 2 – Astrobiology
missing episode match metadata,0,F:\MediaStack\data\media\tv\The Universe\Season 02\The Universe - S02E08 - Space Travel.mkv,,,episode,imdb://tt1119115,,unmatched,The Universe – Season 2 – Space Travel
missing episode match metadata,0,F:\MediaStack\data\media\tv\The Universe\Season 02\The Universe - S02E09 - Supernovas.mkv,,,episode,imdb://tt1119116,,unmatched,The Universe – Season 2 – Supernovas
missing episode match metadata,0,F:\MediaStack\data\media\tv\The Universe\Season 02\The Universe - S02E10 - Constellations.mkv,,,episode,imdb://tt1119105,,unmatched,The Universe – Season 2 – Constellations
missing episode match metadata,0,F:\MediaStack\data\media\tv\The Universe\Season 02\The Universe - S02E11 - Unexplained Mysteries.mkv,,,episode,imdb://tt1119106,,unmatched,The Universe – Season 2 – Unexplained Mysteries
missing episode match metadata,0,F:\MediaStack\data\media\tv\The Universe\Season 02\The Universe - S02E12 - Cosmic Collisions.mkv,,,episode,imdb://tt1119107,,unmatched,The Universe – Season 2 – Cosmic Collisions
missing episode match metadata,0,F:\MediaStack\data\media\tv\The Universe\Season 02\The Universe - S02E13 - Colonizing Space.mkv,,,episode,imdb://tt1119108,,unmatched,The Universe – Season 2 – Colonizing Space
missing episode match metadata,0,F:\MediaStack\data\media\tv\The Universe\Season 02\The Universe - S02E14 - Nebulas.mkv,,,episode,imdb://tt1208575,,unmatched,The Universe – Season 2 – Nebulas
missing episode match metadata,0,F:\MediaStack\data\media\tv\The Universe\Season 02\The Universe - S02E15 - Wildest Weather in the Cosmos.mkv,,,episode,imdb://tt1208577,,unmatched,The Universe – Season 2 – Wildest Weather in the Cosmos
missing episode match metadata,0,F:\MediaStack\data\media\tv\The Universe\Season 02\The Universe - S02E16 - Biggest Things in Space.mkv,,,episode,imdb://tt1209273,,unmatched,The Universe – Season 2 – Biggest Things in Space
missing episode match metadata,0,F:\MediaStack\data\media\tv\The Universe\Season 02\The Universe - S02E17 - Gravity.mkv,,,episode,imdb://tt1208574,,unmatched,The Universe – Season 2 – Gravity
missing episode match metadata,0,F:\MediaStack\data\media\tv\The Universe\Season 02\The Universe - S02E18 - Cosmic Apocalypse.mkv,,,episode,imdb://tt1246716,,unmatched,The Universe – Season 2 – Cosmic Apocalypse
